run,deal_seed,hand,player,group,cumulative_bb
two-each-3,2026092413,700,trained-2,trained,123.25
two-each-3,2026092413,800,loose-aggressive,scripted,6776.5
two-each-3,2026092413,800,random-1,random,-3482.75
two-each-3,2026092413,800,random-2,random,-840.0
two-each-3,2026092413,800,tight-passive,scripted,561.0
two-each-3,2026092413,800,trained-1,trained,-1745.25
two-each-3,2026092413,800,trained-2,trained,-1269.5
two-each-3,2026092413,900,loose-aggressive,scripted,6233.0
two-each-3,2026092413,900,random-1,random,-3417.75
two-each-3,2026092413,900,random-2,random,-504.75
two-each-3,2026092413,900,tight-passive,scripted,852.5
two-each-3,2026092413,900,trained-1,trained,-2325.5
two-each-3,2026092413,900,trained-2,trained,-837.5
two-each-3,2026092413,1000,loose-aggressive,scripted,6937.0
two-each-3,2026092413,1000,random-1,random,-3668.75
two-each-3,2026092413,1000,random-2,random,-585.75
two-each-3,2026092413,1000,tight-passive,scripted,833.75
two-each-3,2026092413,1000,trained-1,trained,-2555.5
two-each-3,2026092413,1000,trained-2,trained,-960.75
two-each-3,2026092413,1100,loose-aggressive,scripted,7747.75
two-each-3,2026092413,1100,random-1,random,-3842.0
two-each-3,2026092413,1100,random-2,random,-607.25
two-each-3,2026092413,1100,tight-passive,scripted,705.25
two-each-3,2026092413,1100,trained-1,trained,-2361.5
two-each-3,2026092413,1100,trained-2,trained,-1642.25
two-each-3,2026092413,1200,loose-aggressive,scripted,8519.75
two-each-3,2026092413,1200,random-1,random,-4804.5
two-each-3,2026092413,1200,random-2,random,-359.75
two-each-3,2026092413,1200,tight-passive,scripted,1282.75
two-each-3,2026092413,1200,trained-1,trained,-2903.0
two-each-3,2026092413,1200,trained-2,trained,-1735.25
two-each-3,2026092413,1300,loose-aggressive,scripted,8724.41
two-each-3,2026092413,1300,random-1,random,-5298.33
two-each-3,2026092413,1300,random-2,random,-150.25
two-each-3,2026092413,1300,tight-passive,scripted,1669.75
two-each-3,2026092413,1300,trained-1,trained,-3084.0
two-each-3,2026092413,1300,trained-2,trained,-1861.58
two-each-3,2026092413,1400,loose-aggressive,scripted,8929.91
two-each-3,2026092413,1400,random-1,random,-5832.58
two-each-3,2026092413,1400,random-2,random,-826.75
two-each-3,2026092413,1400,tight-passive,scripted,2068.25
two-each-3,2026092413,1400,trained-1,trained,-2654.0
two-each-3,2026092413,1400,trained-2,trained,-1684.83
two-each-3,2026092413,1500,loose-aggressive,scripted,8846.41
two-each-3,2026092413,1500,random-1,random,-6168.08
two-each-3,2026092413,1500,random-2,random,-937.75
two-each-3,2026092413,1500,tight-passive,scripted,2734.25
two-each-3,2026092413,1500,trained-1,trained,-1860.5
two-each-3,2026092413,1500,trained-2,trained,-2614.33
two-each-3,2026092413,1600,loose-aggressive,scripted,10458.08
two-each-3,2026092413,1600,random-1,random,-5981.58
two-each-3,2026092413,1600,random-2,random,-2106.59
two-each-3,2026092413,1600,tight-passive,scripted,3105.25
two-each-3,2026092413,1600,trained-1,trained,-1921.33
two-each-3,2026092413,1600,trained-2,trained,-3553.83
two-each-3,2026092413,1700,loose-aggressive,scripted,11112.58
two-each-3,2026092413,1700,random-1,random,-5568.08
two-each-3,2026092413,1700,random-2,random,-2396.59
two-each-3,2026092413,1700,tight-passive,scripted,2870.25
two-each-3,2026092413,1700,trained-1,trained,-2042.33
two-each-3,2026092413,1700,trained-2,trained,-3975.83
two-each-3,2026092413,1800,loose-aggressive,scripted,12880.33
two-each-3,2026092413,1800,random-1,random,-5927.58
two-each-3,2026092413,1800,random-2,random,-2611.84
two-each-3,2026092413,1800,tight-passive,scripted,3094.25
two-each-3,2026092413,1800,trained-1,trained,-3050.33
two-each-3,2026092413,1800,trained-2,trained,-4384.83
two-each-3,2026092413,1900,loose-aggressive,scripted,13733.83
two-each-3,2026092413,1900,random-1,random,-5710.08
two-each-3,2026092413,1900,random-2,random,-2876.34
two-each-3,2026092413,1900,tight-passive,scripted,3369.25
two-each-3,2026092413,1900,trained-1,trained,-3548.33
two-each-3,2026092413,1900,trained-2,trained,-4968.33
two-each-3,2026092413,2000,loose-aggressive,scripted,14348.08
two-each-3,2026092413,2000,random-1,random,-6737.33
two-each-3,2026092413,2000,random-2,random,-2296.34
two-each-3,2026092413,2000,tight-passive,scripted,3739.75
two-each-3,2026092413,2000,trained-1,trained,-3955.58
two-each-3,2026092413,2000,trained-2,trained,-5098.58
two-each-3,2026092413,2100,loose-aggressive,scripted,16290.2
two-each-3,2026092413,2100,random-1,random,-8120.58
two-each-3,2026092413,2100,random-2,random,-2665.09
two-each-3,2026092413,2100,tight-passive,scripted,4168.63
two-each-3,2026092413,2100,trained-1,trained,-4083.33
two-each-3,2026092413,2100,trained-2,trained,-5589.83
two-each-3,2026092413,2200,loose-aggressive,scripted,16514.2
two-each-3,2026092413,2200,random-1,random,-9507.08
two-each-3,2026092413,2200,random-2,random,-2546.34
two-each-3,2026092413,2200,tight-passive,scripted,4590.13
two-each-3,2026092413,2200,trained-1,trained,-3718.08
two-each-3,2026092413,2200,trained-2,trained,-5332.83
two-each-3,2026092413,2300,loose-aggressive,scripted,18402.2
two-each-3,2026092413,2300,random-1,random,-9688.58
two-each-3,2026092413,2300,random-2,random,-4243.34
two-each-3,2026092413,2300,tight-passive,scripted,4959.13
two-each-3,2026092413,2300,trained-1,trained,-3200.08
two-each-3,2026092413,2300,trained-2,trained,-6229.33
two-each-3,2026092413,2400,loose-aggressive,scripted,20367.7
two-each-3,2026092413,2400,random-1,random,-8229.58
two-each-3,2026092413,2400,random-2,random,-6359.84
two-each-3,2026092413,2400,tight-passive,scripted,5110.63
two-each-3,2026092413,2400,trained-1,trained,-4538.58
two-each-3,2026092413,2400,trained-2,trained,-6350.33
